companycode	account	profitcenter	businessarea	costcenter	ledger	accountdescription	periodenddate	postingdate	documentdate	documentnumber	ccy1	ccy1amt	ccy2	ccy2amt	ccy3	ccy3amt
GLTRAN_NYC_GLT3APR01_20190403181057																
1000	111000				0L	Cash Desk	3/31/2019	3/1/2019	3/1/2019	100000246	INR	0	USD	2.14	USD	2.14
1000	125500				0L	Accrued Revenue	3/31/2019	3/8/2019	3/8/2019	100000277	INR	0	USD	-2000	USD	-2000
1000	125500				0L	Accrued Revenue	3/31/2019	3/8/2019	3/8/2019	100000277	INR	0	USD	2000	USD	2000
1000	125200				0L	Security deposit (customers)	3/31/2019	3/20/2019	3/20/2019	100000275	INR	0	USD	-300	USD	-300
1000	125200				0L	Security deposit (customers)	3/31/2019	3/20/2019	3/20/2019	100000275	INR	0	USD	300	USD	300
1000	125200				0L	Security deposit (customers)	3/31/2019	3/20/2019	3/20/2019	100000273	INR	0	USD	-200	USD	-200
1000	125200				0L	Security deposit (customers)	3/31/2019	3/20/2019	3/20/2019	100000273	INR	0	USD	200	USD	200
1000	111000				0L	Cash Desk	3/31/2019	3/20/2019	3/20/2019	100000265	INR	0	USD	-5000	USD	-5000
1000	111000				0L	Cash Desk	3/31/2019	3/20/2019	3/20/2019	100000265	INR	0	USD	5000	USD	5000
1000	111000				0L	Cash Desk	3/31/2019	3/1/2019	3/1/2019	100000246	INR	0	USD	-2.14	USD	-2.14
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000087	INR	0	USD	3000	USD	3000
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000083	INR	0	USD	-800	USD	-800
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000083	INR	0	USD	800	USD	800
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000081	INR	0	USD	-5000	USD	-5000
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000081	INR	0	USD	5000	USD	5000
2000	125500				0L	Accrued Revenue	3/31/2019	3/20/2019	3/20/2019	100000087	INR	0	USD	-3000	USD	-3000
